#Rank,University,Town
1136,Alice Lloyd College,Pippa Passes
1137,Thomas Edison State University,Trenton
1138,Albertus Magnus College,New Haven
1139,Missouri Baptist University,St. Louis
1140,Harrisburg University of Science and Technology,Harrisburg
1141,Adams State University,Alamosa
1142,Urbana University,Urbana ...
1143,Indian River State College,Fort Pierce ...
1144,Malone University,Canton
1145,University of the Sciences in Philadelphia,Philadelphia
1146,University of Hawaii at Hilo,Hilo
1147,Oglethorpe University,Atlanta
1148,The University of West Alabama,Livingston
1149,Mississippi University for Women,Columbus
1150,Wilson College,Chambersburg
1151,Belmont Abbey College,Belmont
1152,Houghton College,Houghton ...
1153,Curtis Institute of Music,Philadelphia
1154,University of the Ozarks,Clarksville
1155,Ferrum College,Ferrum
1156,"Concordia University, Nebraska",Seward
1157,National American University,Rapid City ...
1158,Massachusetts College of Liberal Arts,North Adams
1159,Daytona State College,Daytona Beach
1160,Ottawa University,Ottawa ...
1161,Tiffin University,Tiffin ...
1162,Principia College,Elsah
1163,Mount St. Joseph University,Cincinnati
1164,The University of Texas of the Permian Basin,Odessa
1165,LIM College,New York City
1166,Saint Francis University,Loretto
1167,Southern California Institute of Architecture,Los Angeles
1168,Georgian Court University,Lakewood
1169,Texas A&M University at Galveston,Galveston
1170,Concordia University Texas,Austin
1171,Lyon College,Batesville
1172,Rivier University,Nashua
1173,Nicholls State University,Thibodaux
1174,New Mexico Highlands University,Las Vegas
1175,The American College of Financial Services,Bryn Mawr
1176,SUNY Canton,Canton
1177,New England Conservatory,Boston
1178,Ouachita Baptist University,Arkadelphia
1179,Hannibal-LaGrange University,Hannibal
1180,Mount St. Mary's University,Emmitsburg ...
1181,Edward Waters College,Jacksonville
1182,South Carolina State University,Orangeburg
1183,"Bethel University, Tennessee",McKenzie
1184,Cardinal Stritch University,Milwaukee
1185,Albany Medical College,Albany
1186,Upper Iowa University,Fayette ...
1187,La Sierra University,Riverside
1188,"Marian University, Wisconsin",Fond du Lac
1189,Dickinson State University,Dickinson
1190,Clarke University,Dubuque
1191,Centralia College,Centralia
1192,Marymount Manhattan College,New York City
1193,A.T. Still University,Kirksville ...
1194,Mount Saint Mary College,Newburgh
1195,Nichols College,Dudley
1196,Landmark College,Putney
1197,University of Mary,Bismarck
1198,Quincy University,Quincy
1199,Birmingham-Southern College,Birmingham
1200,College for Creative Studies,Detroit
1201,"Bethany College, Kansas",Lindsborg
1202,Colorado State University-Pueblo,Pueblo ...
1203,Oakland City University,Oakland City
1204,Asbury University,Wilmore
1205,Transylvania University,Lexington
1206,Martin Luther College,New Ulm
1207,Johnson C. Smith University,Charlotte
1208,Hardin-Simmons University,Abilene
1209,University of the Southwest,Hobbs
1210,Saint Martin's University,Lacey
1211,Marlboro College,Marlboro
1212,Samuel Merritt University,Oakland
1213,Mount Mercy University,Cedar Rapids
1214,Greensboro College,Greensboro
1215,Trine University,Angola
1216,Southwestern Law School,Los Angeles
1217,"Sterling College, Vermont",Craftsbury Common
1218,Southwestern Oklahoma State University,Weatherford ...
1219,Roseman University of Health Sciences,Henderson
1220,Piedmont International University,Winston Salem ...
1221,SUNY Cobleskill,Cobleskill
1222,New England Institute of Technology,East Greenwich
1223,Savannah State University,Savannah
1224,"Emmanuel College, Georgia",Franklin Springs
1225,Nebraska Wesleyan University,Lincoln ...
1226,Chipola College,Marianna
1227,SUNY College at Old Westbury,Old Westbury
1228,Faulkner University,Montgomery
1229,Mary Baldwin University,Staunton
1230,Central Methodist University,Fayette
1231,Carlow University,Pittsburgh
1232,Columbia International University,Columbia
1233,California Western School of Law,San Diego
1234,California University of Pennsylvania,California
1235,St. Joseph's College,Brooklyn ...
1236,The Master's University,Santa Clarita
1237,University of South Carolina-Aiken,Aiken
1238,Missouri Southern State University,Joplin
1239,Pfeiffer University,Misenheimer
1240,Bethel College,North Newton
1241,Shaw University,Raleigh
1242,Oklahoma Baptist University,Shawnee
1243,University of Arkansas at Monticello,Monticello
1244,Tougaloo College,Tougaloo ...
1245,Wells College,Aurora
1246,University of Dubuque,Dubuque
1247,Soka University of America,Aliso Viejo
1248,United States Coast Guard Academy,New London
1249,Maine College of Art,Portland
1250,Woodbury University,Burbank ...
1251,Dunwoody College of Technology,Minneapolis
1252,Vermont Technical College,Randolph Center
1253,Rochester University,Rochester Hills
1254,Cleveland Institute of Art,Cleveland
1255,Alaska Pacific University,Anchorage
1256,Bacone College,Muskogee
1257,Cabrini University,Radnor
1258,Capitol Technology University,Laurel
1259,University of Northwestern - St. Paul,St. Paul ...
1260,AdventHealth University,Orlando
1261,University of Mount Union,Alliance
1262,New England Law | Boston,Boston
1263,Paul Quinn College,Dallas
1264,Rosemont College,Rosemont
1265,John F. Kennedy University,Pleasant Hill ...
1266,Colby-Sawyer College,New London
1267,Voorhees College,Denmark
1268,Florida SouthWestern State College,Fort Myers
1269,"Baruch College, CUNY",New York City
1270,Bryant and Stratton College,Buffalo ...
1271,University of Maine at Augusta,Augusta
1272,Sullivan University,Louisville ...
1273,Montreat College,Montreat ...
1274,Rocky Mountain College of Art and Design,Denver
1275,MGH Institute of Health Professions,Boston
1276,"The Graduate Center, CUNY",New York City
1277,Converse College,Spartanburg
1278,Kansas City Art Institute,Kansas City
1279,University of Hawaii-West Oahu,Kapolei
1280,Northwestern Health Sciences University,Bloomington
1281,East Central University,Ada
1282,North Central University,Minneapolis
1283,SUNY Maritime College,Throggs Neck
1284,Texas Wesleyan University,Fort Worth
1285,Neumann University,Aston
1286,The College of Idaho,Caldwell
1287,Millsaps College,Jackson
1288,Georgia Southwestern State University,Americus
1289,Nevada State College,Henderson
1290,Lindsey Wilson College,Columbia
1291,Saint Mary-of-the-Woods College,Saint Mary of the Woods
1292,Grand View University,Des Moines
1293,Fort Valley State University,Fort Valley
1294,Brooklyn College,Brooklyn
1295,Wisconsin Lutheran College,Milwaukee
1296,Des Moines University,Des Moines
1297,Saint Joseph's College of Maine,Standish ...
1298,Bethune-Cookman University,Daytona Beach
1299,Mitchell Hamline School of Law,St. Paul
1300,"Lincoln University, Missouri",Jefferson City
1301,Wayland Baptist University,Plainview ...
1302,Ursuline College,Pepper Pike
1303,Goddard College,Plainfield ...
1304,University of North Texas Health Science Center,Fort Worth
1305,Huntington University,Huntington ...
1306,Villa Maria College,Buffalo
1307,St Andrews University,Laurinburg
1308,Rockford University,Rockford ...
1309,Snow College,Ephraim
1310,Palm Beach Atlantic University,West Palm Beach ...
1311,Anna Maria College,Paxton
1312,Thomas Aquinas College,Santa Paula
1313,St. Augustine's University,Raleigh
1314,St. Louis College of Pharmacy,St. Louis
1315,Mansfield University of Pennsylvania,Mansfield
1316,Concordia College-New York,Bronxville
1317,The Institute of World Politics,Washington
1318,Claflin University,Orangeburg
1319,Oakwood University,Huntsville
1320,Dillard University,New Orleans
1321,Cornish College of the Arts,Seattle
1322,Sierra Nevada University,Incline Village
1323,Texas Lutheran University,Seguin
1324,Adler University,Chicago ...
1325,Coppin State University,Baltimore
1326,Pine Manor College,Chestnut Hill
1327,Vanguard University of Southern California,Costa Mesa ...
1328,Trinity Washington University,Washington
1329,Logan University,Chesterfield
1330,San Francisco Conservatory of Music,San Francisco
1331,Louisiana State University of Alexandria,Alexandria
1332,Ohio Dominican University,Columbus
1333,University of Sioux Falls,Sioux Falls
1334,Bay Path University,Longmeadow
1335,MidAmerica Nazarene University,Olathe
1336,Albany Law School,Albany
1337,Friends University,Wichita ...
1338,Rosalind Franklin University of Medicine and Science,North Chicago
1339,Erskine College,Due West
1340,Mount Vernon Nazarene University,Mount Vernon ...
1341,Rocky Mountain College,Billings
1342,Chestnut Hill College,Philadelphia
1343,Lees-McRae College,Banner Elk
1344,William Jewell College,Liberty
1345,Notre Dame College,Cleveland
1346,National University of Health Sciences,Lombard ...
1347,University of Advancing Technology,Tempe
1348,Castleton University,Castleton
1349,Wilmington College,Wilmington
1350,Fairmont State University,Fairmont
1351,Randolph-Macon College,Ashland
1352,McMurry University,Abilene
1353,Charles R. Drew University of Medicine and Science,Los Angeles
1354,East Texas Baptist University,Marshall
1355,Dean College,Franklin
1356,Midland College,Midland
1357,Moore College of Art and Design,Philadelphia
1358,Massachusetts Maritime Academy,Buzzards Bay
1359,Briar Cliff University,Sioux City
1360,Martin University,Indianapolis
1361,Trevecca Nazarene University,Nashville
1362,Freed-Hardeman University,Henderson
1363,Kansas Wesleyan University,Salina
1364,University of Northwestern Ohio,Lima
1365,Madonna University,Livonia ...
1366,Chamberlain University,Addison ...
1367,Waynesburg University,Waynesburg
1368,Milligan College,Elizabethton ...
1369,Trinity Christian College,Palos Heights
1370,Holy Names University,Oakland
1371,Limestone College,Gaffney
1372,Methodist University,Fayetteville
1373,Waldorf University,Forest City
1374,Tabor College,Hillsboro
1375,Oklahoma Wesleyan University,Bartlesville
1376,North Greenville University,Tigerville
1377,Cleveland Institute of Music,Cleveland
1378,Robert Morris University Illinois,Chicago
1379,Marygrove College,Detroit
1380,Cogswell Polytechnical College,San Jose ...
1381,United States Sports Academy,Daphne
1382,Tusculum College,Greeneville
1383,Five Towns College,Dix Hills
1384,University of Arkansas - Fort Smith,Fort Smith
1385,Texas A&M University-Texarkana,Texarkana
1386,Averett University,Danville ...
1387,The University of Virginia's College at Wise,Wise
1388,Pacifica Graduate Institute,Carpinteria ...
1389,Valley City State University,Valley City
1390,Dakota Wesleyan University,Mitchell
1391,Reinhardt University,Waleska
1392,Finlandia University,Hancock
1393,Northeast Ohio Medical University,Rootstown
1394,Maine Maritime Academy,Castine
1395,College of Mount Saint Vincent,The Bronx
1396,St. Francis College,Brooklyn Heights
1397,Paine College,Augusta
1398,Hodges University,Naples
1399,Mount Mary University,Milwaukee
1400,Mars Hill University,Mars Hill
1401,St. Thomas Aquinas College,Sparkill
1402,University of Arkansas at Pine Bluff,Pine Bluff
1403,Maryland University of Integrative Health,Laurel
1404,University of Mobile,Mobile
1405,Notre Dame de Namur University,Belmont
1406,Southwest Baptist University,Bolivar ...
1407,Abraham Baldwin Agricultural College,Tifton
1408,Bethany Lutheran College,Mankato
1409,Southern University at New Orleans,New Orleans
1410,University of Saint Joseph,West Hartford
1411,Nyack College,Nyack
1412,Anderson University,Anderson
1413,American Jewish University,Los Angeles ...
1414,Lake Washington Institute of Technology,Kirkland
1415,Hastings College,Hastings
1416,NewSchool of Architecture and Design,San Diego
1417,Howard Payne University,Brownwood
1418,Coker University,Hartsville
1419,Beacon College,Leesburg
1420,Gordon State College,Barnesville
1421,Alcorn State University,Lorman
1422,Cumberland University,Lebanon
1423,Schiller International University,Largo ...
1424,Pacific Oaks College,Pasadena
1425,Columbia Basin College,Pasco
1426,Holy Family University,Philadelphia
1427,Williams Baptist University,Walnut Ridge
1428,Ohio Christian University,Circleville
1429,West Liberty University,West Liberty
1430,MacMurray College,Jacksonville
1431,Virginia Union University,Richmond
1432,Grace Christian University,Wyoming
1433,Lenoir-Rhyne University,Hickory
1434,Mount Aloysius College,Cresson
1435,University of Saint Francis,Fort Wayne
1436,William Woods University,Fulton
1437,Southern Wesleyan University,Central
1438,SUNY College of Optometry,New York City
1439,Montana State University-Northern,Havre ...
1440,College of Coastal Georgia,Brunswick
1441,LaGrange College,LaGrange
1442,Thomas Jefferson School of Law,San Diego
1443,Concordia University Ann Arbor,Ann Arbor
1444,Midway University,Midway
1445,Wesleyan College,Macon ...
1446,West Virginia University Institute of Technology,Montgomery
1447,Meharry Medical College,Nashville
1448,Fontbonne University,St. Louis
1449,Nebraska Methodist College,Omaha
1450,The Chicago School of Professional Psychology,Los Angeles ...
1451,Granite State College,Concord
1452,Franciscan University of Steubenville,Steubenville
1453,Clarkson University,Potsdam ...
1454,University of Science and Arts of Oklahoma,Chickasha
1455,Brescia University,Owensboro
1456,Mayville State University,Mayville
1457,Talladega College,Talladega
1458,John Jay College of Criminal Justice,New York City
1459,Florida National University,Hialeah
1460,The City College of New York,New York City
1461,University of the Potomac,Washington ...
1462,Multnomah University,Portland ...
1463,Alderson Broaddus University,Philippi
1464,Kendall College,Chicago
1465,Siena Heights University,Adrian
1466,Central Christian College of Kansas,McPherson
1467,William Jessup University,Rocklin ...
1468,West Coast University-Los Angeles,North Hollywood
1469,Pensacola State College,Pensacola
1470,"Union College, Kentucky",Barbourville
1471,Warner University,Lake Wales
1472,Huston-Tillotson University,Austin
1473,University of St. Augustine for Health Sciences,San Marcos ...
1474,Brown Mackie College,Salina ...
1475,Kansas City University of Medicine and Biosciences,Kansas City
1476,Northwestern Oklahoma State University,Alva ...
1477,College of Saint Mary,Omaha
1478,William James College,Newton
1479,Amberton University,Garland
1480,Brazosport College,Lake Jackson
1481,Culver-Stockton College,Canton
1482,Kentucky Wesleyan College,Owensboro
1483,Southern Vermont College,Bennington
1484,University of Rio Grande,Rio Grande
1485,Mount Marty College,Yankton
1486,University of South Carolina-Beaufort,Bluffton
1487,"Westminster College, Missouri",Fulton
1488,Missouri Valley College,Marshall
1489,University of Jamestown,Jamestown
1490,Corban University,Salem ...
1491,Benedict College,Columbia
1492,Mitchell College,New London
1493,Cairn University,Langhorne ...
1494,University of Pikeville,Pikeville
1495,Montserrat College of Art,Beverly
1496,Goodwin College,East Hartford
1497,Boston Graduate School of Psychoanalysis,Brookline ...
1498,Wingate University,Wingate
1499,Air Force Institute of Technology,Wright-Patterson AFB
1500,Centenary University,Hackettstown
1501,Toccoa Falls College,Toccoa Falls ...
1502,Faith Baptist Bible College and Theological Seminary,Ankeny
1503,Holy Cross College,Notre Dame
1504,Cranbrook Academy of Art,Bloomfield Hills
1505,Art Academy of Cincinnati,Cincinnati
1506,York College,York
1507,University of Maine at Machias,Machias
1508,Whitman College,Walla Walla
1509,Columbia College Hollywood,Los Angeles
